PDB	HS	Eelec	Evdw	BSA	Edesolv
1o9d_1	-156.5510293	-262.898	-77.5363	2253.05	-26.4698
1ywt_1	-166.4481804	-401.179	-57.0034	1954.09	-29.2588
2c63_2	-107.54273	-190.559	-67.2862	1980.68	-2.14473
1qja_1	-144.3459613	-211.458	-63.0244	2040.28	-39.0775
2br9_1	-112.8115	-131.995	-71.0026	1996.22	-15.4099
2o8p_1	-170.77862	-61.6671	-93.2562	2122.58	-65.189
4ae7_1	-338.7922284	-362.846	-187.541	3759.99	-78.7776
4ae8_2	-245.2552225	-184.599	-152.549	2879.58	-55.8558
4ien_2	-228.3982	-486.944	-102.742	3004.99	-28.2674
2prx_1	-126.889611	-113.766	-87.9086	2020.58	-16.5991
1vpm_2	-146.6008	-253.104	-81.5927	2360.67	-14.3873
2hbo_1	-222.5838	-438.009	-98.8053	2484.72	-36.1767
4k02_1	-179.1775	-188.943	-115.004	2570.93	-26.3849
1yli_1	-148.4469	-308.335	-70.7745	1960.78	-16.0054
3e8p_2	-212.6339	-179.015	-119.571	2513.84	-57.2599
1q4s_1	-306.5804	-467.43	-153.243	3391.34	-59.8514
2v1o_1	-172.52806	-418.186	-93.0429	2591.21	4.15204
3lwg_1	-257.5416	-688.51	-109.378	3263.25	-10.4616
1bvq_1	-127.0747	-126.884	-91.4436	2144.75	-10.2543
3e1e_2	-217.8409	-300.164	-113.164	2570.49	-44.6441
2q78_2	-254.28926	-794.648	-94.0824	3162.91	-1.27726
2f0x_1	-234.3263	-402.544	-125.689	2665.92	-28.1285
2qwz_4	-93.6334	-115.664	-50.6184	1322.29	-19.8822
1psu_2	-127.0328	-128.361	-59.6466	1653.67	-41.714
3s4k_1	-208.8284364	-304.221	-115.63	2392.59	-32.3805
3kv8_1	-377.5686	-689.276	-160.291	4196.2	-79.4224
2pim_1	-170.1612	-241.695	-110.536	2152.02	-11.2862
3f1t_2	-115.7749	-63.893	-77.7249	2071.07	-25.2714
1sc0_2	-183.1103	-237.981	-114.591	2565.87	-20.9231
3gek_2	-178.4952766	-209.64	-107.07	2600.75	-29.4975
1vh9_2	-211.881	-193.951	-124.315	2723.51	-48.7758
1j1y_1	-228.7196	-241.63	-127.555	2632.92	-52.8386
1sbk_2	-207.3269	-163.782	-127.389	2643.6	-47.1815
3e29_2	-211.1698	-207.424	-128.938	2435.91	-40.747
1s5u_1	-155.5574	-319.542	-73.017	2034.99	-18.632
2pzh_4	-117.6914	-122.983	-71.896	2003.96	-21.1988
3dkz_2	-199.8579	-185.762	-122.288	2273.86	-40.4175
3r87_1	-184.9994	-270.15	-78.8107	2282.36	-52.1587
1z54_2	-133.8197	-219.229	-66.4298	1892.18	-23.5441
2eis_1	-201.8502	-169.971	-92.2601	1979.98	-75.5959
1ixl_1	-258.697	-166.018	-151.629	3251.33	-73.8644
3lbb_1	-240.3957	-221.344	-153.237	3095.55	-42.8899
2egr_2	-139.44581	-260.148	-78.0399	2078.38	-9.37631
1zki_2	-253.2194	-434.511	-118.567	2614.43	-47.7502
2nuj_2	-148.5451	-287.825	-78.0332	1859.21	-12.9469
2hlj_1	-291.880678	-508.25	-158.618	4017.83	-31.6374
2hx5_2	-156.37642	-86.5921	-84.5365	1964.96	-54.5215
3ck1_1	-165.7271	-138.774	-87.7822	2315.25	-50.1901
2w3x_2	-170.9038	-192.972	-97.3804	2555.66	-34.929
2av9_4	-130.6119	-110.69	-73.5401	1866.2	-34.9338
2xem_1	-179.9701	-237.119	-94.3675	2244.69	-38.1788
2oaf_2	-157.2343	-193.364	-77.8708	2168.45	-40.6907
2gf6_2	-172.0508	-118.081	-90.9259	2174.01	-57.5087
2fuj_2	-101.5851	-134.969	-57.4575	1416.31	-17.1338
2oiw_2	-169.3015	-343.201	-76.768	2146.27	-23.8933
2cye_1	-130.0365853	-222.622	-83.7719	2111.92	-1.7452
3qy3_1	-133.3318	-174.653	-73.3533	1804.69	-25.0479
1njk_2	-109.8138	-119.942	-68.9615	1671.53	-16.8639
2nuj_3	-121.87513	-317.448	-54.2485	1534.95	-4.13703
2hx5_1	-244.6974	-931.59	-79.2732	2336.04	20.8938
3ck1_3	-148.1283	-601.325	-39.9972	1493.81	12.1339
2w3x_5	-150.9035	-348.658	-58.1956	1931.4	-22.9763
2av9_1	-142.4254	-221.524	-70.6618	1848.17	-27.4588
2xem_4	-102.8255	-124.637	-33.5185	1144.08	-44.3796
2oaf_1	-160.8204	-221.773	-79.9484	2197.69	-36.5174
2gf6_5	-91.438	-190.729	-33.1077	1180.8	-20.1845
2fuj_1	-157.1439	-401.228	-53.8945	1730.28	-23.0038
2oiw_4	-145.3109	-249.703	-56.6149	1754.04	-38.7554
2cye_3	-155.4904551	-360.903	-71.2629	2096.17	-12.0608
3qy3_2	-111.08116	-322.447	-39.5545	1517.74	-7.03726
1njk_4	-179.65091	-729.622	-35.6912	1272.44	1.96469
3sk3_1	-278.693328	-594.403	-152.47	4290.86	-7.45799
3tcv_1	-187.63474	-358.22	-123.578	2474.86	7.58726
2vzy_4	-88.3935202	-182.071	-62.3594	1445.99	10.3284
3pzj_1	-211.7433673	-427.399	-130.112	3073.12	3.84614
1yre_1	-152.5065	-306.612	-71.4525	1859.87	-19.7316
2z0z_1	-198.401674	-601.765	-77.555	1991.57	-0.493674
3owc_1	-186.5521	-705.53	-74.644	2208.47	29.1979
3r96_1	-94.61138	-84.4214	-57.6038	1511.71	-20.1233
3igr_2	-231.2546	-165.626	-101.508	2189.67	-96.6214
1s7f_1	-101.1642751	-157.674	-69.3915	1756.12	-0.244928
2fck_1	-146.8535844	-191.696	-97.9787	2285.17	-10.5588
2vi7_2	-194.0848	-462.605	-115.736	2646.03	14.1722
5cnp_3	-160.9771	-310.416	-83.918	2291.43	-14.9759
3fbu_1	-164.5137768	-230.32	-72.5499	1567.07	-45.9152
2ge3_2	-163.4123	-250.471	-88.6116	2043.81	-24.7065
4jxq_1	-307.288	-667.88	-146.561	3765.11	-27.151
2jlm_2	-327.3355	-460.518	-157.219	3447.38	-78.0129
1yvo_1	-293.7753	-511.237	-143.929	3498.03	-47.5989
3dr8_1	-262.443	-136.406	-148.541	3085.47	-86.6208
1yr0_1	-269.3907	-600.194	-88.8552	2782.94	-15.9227
4j3g_1	-260.9181	-508.112	-103.415	2838.68	-55.8807
1vhs_1	-227.7295917	-562.519	-87.9236	2750.28	-27.3381
